channel_id,channel,classification
UCm7yvtd_4hau7nsTz0Zsj4g,Rachel Skasil,3.0
UCny0srLn6MWyq217WgJk7Kg,CIRCLE TUBE,3.0
UCoDlMU9HekN3yS3aowUAQ4g,Dena Burton Homes,3.0
UCoTnvhH8EeLF8sKpBI-CfRA,adamgroch,3.0
UCowMJ16vcNtqJJFTSH3yEVg,Liberty in North Korea,3.0
UCpB78IGoRWWUeWQyHaYvusA,Patriotic Folks,3.0
UCpXyjJAFy0KwbBIzllkMzSQ,ESPNInternational,3.0
UCq-g11BdjkKb3Sul7Pyv77g,Century 21 Collins Realty St. George Island,3.0
UCqMtxjKnR7ySbEZSs2N-v0Q,The Rich Eisen Show,3.0
UCrrvLakJtCTv6YWEagC4S_Q,imsofirst,3.0
UCtOig7WKT9bGAg3GMtjlcaQ,moonberry26,3.0
UCtd6HjPW9aXLWcKY3SRoBxw,cliff c,3.0
UCuI80PeuuCYHXxBj7r_0OAg,What The Family?!,3.0
UCuQK1kLR9c0DylgnuiIbLew,TyneRoseMedia,3.0
UCuXXCSNYT2iaSR-02bomwtg,Skaterbate,3.0
UCuaDdR-00y-Vnx9xBMoDnHA,Mark Rees,3.0
UCv-lQ2yyKXQkdjBrgSS9gxw,Payton Delu,3.0
UCvPf-ZNpZztK4TgdwuKf1Hg,Darklord74,3.0
UCwdWxiEMabFBknv_Y3D2Scw,Car FanBoys,3.0
UCwoV97gBf3Wlz-vYs0eYfMQ,Cute Parrots,3.0
UCxOGHW-aqciBe5Wjq8ltzOg,Ownage Pranks,3.0
UCy06_6s-aHjFYud_VQdtwgA,UncleGrizzo,3.0
UCy890tSCwqVD39qBiX6rlng,Zhi Bin,3.0
UCyMPTQWCs6-C9dxD5ozvrew,Fascinating History,3.0
UCyxQ9c5XXqkxHI-Ym_exJbA,Melvin Olontha,3.0
UC-0L4F-mWV37FH_0nMYvqog,Dave Kandz,3.0
UC1PloUeSfZql4wbCRM8_2AQ,flugsnug,3.0
UC2mj0aZlLMJCDHK_OortIcQ,Dick911R,3.0
UC4K2QXYB2NHveRWXwwqHJow,The U.S. Mile Top Speed Racing Events,3.0
UC4f1t78A3SDcNB5DCtkPRFQ,81esanchez,3.0
UC6LDC2x8BR-wLGWoDSGKxOg,Spitz Architectural,3.0
UC6tO3THtSNS7W-g45ULAysA,FreeBlackness,3.0
